wine_name,grape,region,country,year,price,rating,review
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Intense dark purple-red color in the glass! On the nose complex aromas of black cherries, plums and blackcurrants with hints of spices! On the palate soft, round tannins and a persistent finish! Cheers!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,4.6. Celebrating fathers birthday with this beauty. Great Italian🇮🇹🍷. Needs a little bit decanting to open up. Thanks to Tanju abi for the suggestion. 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,4.6. Celebrating fathers birthday with this beauty. Great Italian🇮🇹🍷. Needs a little bit decanting to open up. Thanks to Tanju abi for the suggestion. 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Very good, no bitter, no sweet !
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Having it now and taste good
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Having it now and taste good
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Another great 2012 Edizione Cinque Autoctoni blend of Negroamaro, Primitivo, Sangoviese, Malvasia Nera and Montepuliciano. Powerful and intense full bodied wine, one of the best ever made from Abuzzo & Puglia grapes...Garnet red colour, strong nose of oak and black fruit.  Exploding mouth of ripe dark fruit, prunes, sweet cherry, black cassis and chocolate. Persintant peppery finish, high level of integrated  tannins, medium acidity. Perfect blend, perfect flavours, perfect finish...."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Another great 2012 Edizione Cinque Autoctoni blend of Negroamaro, Primitivo, Sangoviese, Malvasia Nera and Montepuliciano. Powerful and intense full bodied wine, one of the best ever made from Abuzzo & Puglia grapes...Garnet red colour, strong nose of oak and black fruit.  Exploding mouth of ripe dark fruit, prunes, sweet cherry, black cassis and chocolate. Persintant peppery finish, high level of integrated  tannins, medium acidity. Perfect blend, perfect flavours, perfect finish...."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Another great 2012 Edizione Cinque Autoctoni blend of Negroamaro, Primitivo, Sangoviese, Malvasia Nera and Montepuliciano. Powerful and intense full bodied wine, one of the best ever made from Abuzzo & Puglia grapes...Garnet red colour, strong nose of oak and black fruit.  Exploding mouth of ripe dark fruit, prunes, sweet cherry, black cassis and chocolate. Persintant peppery finish, high level of integrated  tannins, medium acidity. Perfect blend, perfect flavours, perfect finish...."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Another great 2012 Edizione Cinque Autoctoni blend of Negroamaro, Primitivo, Sangoviese, Malvasia Nera and Montepuliciano. Powerful and intense full bodied wine, one of the best ever made from Abuzzo & Puglia grapes...Garnet red colour, strong nose of oak and black fruit.  Exploding mouth of ripe dark fruit, prunes, sweet cherry, black cassis and chocolate. Persintant peppery finish, high level of integrated  tannins, medium acidity. Perfect blend, perfect flavours, perfect finish...."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Full body wine, one of the best wine i had. 
Real great wine"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Full body wine, one of the best wine i had. 
Real great wine"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Sydney Vivino meeting #1

The theme was ""Italian"".
Since I'm very tired, tonight I'll write just one review. (Rest will follow tomorrow.)
In my opinion this was the best.
A good red blend with berry and slightly coffee aroma.
A delicious combination of cherry, licorice and coffee taste with a bit of spicy finish.(4,2 Stars)"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"I’ve already wrote so many notes about various vintages of E5A that this one will be quite short:) - 07’ (09 on the label) is great (though slightly too sweet-forward as for me): unbelievable concentration of prunes, cacao beans, dark chocolate, cedar wood and cherries both on the nose and on the palate, perfectly balanced acidity, great tannins and unforgettable finish. Great wine, HIGHLY RECOMMEND!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Price high but nothing special.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Wonderfully layered Italian blend. And a 99 pointer, too!

This Southern Italian multi-region Red blend is made up of Montepulciano, Primitivo, Sangiovese, Negroamaro and Malvasia. Separate vinification, inc 13m in 🇺🇸 and 🇫🇷 oak before blending.

Its rich and layered in texture. But soft too. The exotic nose and full bodied palate reveal intense blackberry, cherry and mulberry. A sure mid palate drive offers great contrast with sweet liquorice, cinnamon, dark chocolate and cedar oak spices. Great wine."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Wonderfully layered Italian blend. And a 99 pointer, too!

This Southern Italian multi-region Red blend is made up of Montepulciano, Primitivo, Sangiovese, Negroamaro and Malvasia. Separate vinification, inc 13m in 🇺🇸 and 🇫🇷 oak before blending.

Its rich and layered in texture. But soft too. The exotic nose and full bodied palate reveal intense blackberry, cherry and mulberry. A sure mid palate drive offers great contrast with sweet liquorice, cinnamon, dark chocolate and cedar oak spices. Great wine."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"A little sweet, smooth finished. Full body, but soft smell."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Well-balanced wine. Velvet textured, with sweet tannins. Long finish of vanilla, spices and chocolate."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Heady, concentrated and sweet blend from Puglia and Abruzzi. Fig marmelade, candied blueberries, some mocha and sweet vanilla. The palate is big and round with medium acidity. Long sweet finish. Solid wine but lacks complexity at this price point."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Heady, concentrated and sweet blend from Puglia and Abruzzi. Fig marmelade, candied blueberries, some mocha and sweet vanilla. The palate is big and round with medium acidity. Long sweet finish. Solid wine but lacks complexity at this price point."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,3.8 - Italian Fine Wine Encounter 🍷2️⃣2️⃣
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,3.8 - Italian Fine Wine Encounter 🍷2️⃣2️⃣
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Wonderful with meal
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Fruty, beautiful red color, strong with a lot of body."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Rich body, fruity, and good aroma. 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Rich body, fruity, and good aroma. 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Rich body, fruity, and good aroma. 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Rich body, fruity, and good aroma. 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vivino Sydney, 🇮🇹 night, wine #10/11

A beast, but a gentle one, thanks AC! 😊👍🏼

Montepulciano, Primitivo, Sangiovese, Negroamaro, Malvasia Nera.
NV by law since grapes from diff. regions, Puglia & Abruzzo.
14 on the front label = years since the first vintage (1999). Released in 2012.

V. deep inky.
Ripe dark fruit, toast, vanilla, cinnamon, coffee+cocoa, bl. pepper.
Dry, h. acid, h. smooth tannins, h. alc, f. body. Ripe, chocolatey. Big, warm, rich style, v. smooth & approachable.

4.0

14% alc, cork"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vivino Sydney, 🇮🇹 night, wine #10/11

A beast, but a gentle one, thanks AC! 😊👍🏼

Montepulciano, Primitivo, Sangiovese, Negroamaro, Malvasia Nera.
NV by law since grapes from diff. regions, Puglia & Abruzzo.
14 on the front label = years since the first vintage (1999). Released in 2012.

V. deep inky.
Ripe dark fruit, toast, vanilla, cinnamon, coffee+cocoa, bl. pepper.
Dry, h. acid, h. smooth tannins, h. alc, f. body. Ripe, chocolatey. Big, warm, rich style, v. smooth & approachable.

4.0

14% alc, cork"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vivino Sydney, 🇮🇹 night, wine #10/11

A beast, but a gentle one, thanks AC! 😊👍🏼

Montepulciano, Primitivo, Sangiovese, Negroamaro, Malvasia Nera.
NV by law since grapes from diff. regions, Puglia & Abruzzo.
14 on the front label = years since the first vintage (1999). Released in 2012.

V. deep inky.
Ripe dark fruit, toast, vanilla, cinnamon, coffee+cocoa, bl. pepper.
Dry, h. acid, h. smooth tannins, h. alc, f. body. Ripe, chocolatey. Big, warm, rich style, v. smooth & approachable.

4.0

14% alc, cork"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vivino Sydney, 🇮🇹 night, wine #10/11

A beast, but a gentle one, thanks AC! 😊👍🏼

Montepulciano, Primitivo, Sangiovese, Negroamaro, Malvasia Nera.
NV by law since grapes from diff. regions, Puglia & Abruzzo.
14 on the front label = years since the first vintage (1999). Released in 2012.

V. deep inky.
Ripe dark fruit, toast, vanilla, cinnamon, coffee+cocoa, bl. pepper.
Dry, h. acid, h. smooth tannins, h. alc, f. body. Ripe, chocolatey. Big, warm, rich style, v. smooth & approachable.

4.0

14% alc, cork"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Best buy vino in Italia!
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vivino Sydney Offline
Vino Italiano 🇮🇹 31/05/2018

Second time having this wine (first was also at a Vivino Offline where in true Character, Dave M brings an out-of-theme wine!). Lovely blend showcasing good structure, brilliant robust body and deep flavours.

And... it’s one if the heaviest bottle you’ll find anywhere!

Bottle Credit: Anonymous Coward

Enjoyed with a bunch of oenophiles @ The Local Eatery"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vivino Sydney Offline
Vino Italiano 🇮🇹 31/05/2018

Second time having this wine (first was also at a Vivino Offline where in true Character, Dave M brings an out-of-theme wine!). Lovely blend showcasing good structure, brilliant robust body and deep flavours.

And... it’s one if the heaviest bottle you’ll find anywhere!

Bottle Credit: Anonymous Coward

Enjoyed with a bunch of oenophiles @ The Local Eatery"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Purple red, almost black.
In the nose cassis, cherries, plums, tobacco, mocha, leather, vanilla, dark chocolate.
On palate silky, full-bodied, fruity with cherries, blackberries, blueberries and plums, slightly spicy, well balanced acidity, ripe tannins, vanilla and dark chocolate in a long finish."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Purple red, almost black.
In the nose cassis, cherries, plums, tobacco, mocha, leather, vanilla, dark chocolate.
On palate silky, full-bodied, fruity with cherries, blackberries, blueberries and plums, slightly spicy, well balanced acidity, ripe tannins, vanilla and dark chocolate in a long finish."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Purple red, almost black.
In the nose cassis, cherries, plums, tobacco, mocha, leather, vanilla, dark chocolate.
On palate silky, full-bodied, fruity with cherries, blackberries, blueberries and plums, slightly spicy, well balanced acidity, ripe tannins, vanilla and dark chocolate in a long finish."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Purple red, almost black.
In the nose cassis, cherries, plums, tobacco, mocha, leather, vanilla, dark chocolate.
On palate silky, full-bodied, fruity with cherries, blackberries, blueberries and plums, slightly spicy, well balanced acidity, ripe tannins, vanilla and dark chocolate in a long finish."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Purple red, almost black.
In the nose cassis, cherries, plums, tobacco, mocha, leather, vanilla, dark chocolate.
On palate silky, full-bodied, fruity with cherries, blackberries, blueberries and plums, slightly spicy, well balanced acidity, ripe tannins, vanilla and dark chocolate in a long finish."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Full bodied ready to drink straight out of the bottle. Bang for buck.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Pleasantly sweet, vanilla feel a little too pronounced though. Lacks depth, evolution and complexity. One night stand only"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"👁 intense inky purple core with hot pink rim
👃🏻 tantalising medium intensity bouquet of dried raisins and dates, hints of violet and spice
👅 full-bodied, high smooth tannin, sticky viscous glycerol structure, high alcohol, high acidity, well balanced, intense long finish of raisin and dates. Almost port-like!
🎯 memorable, well worth £30. If paired with food then get something rich enough to stand up to it!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Great Value wine.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Really great blend of 5 varieties from south Italy: negroamaro, primitivo, malvasia negra, sangiovese and Montepulciano d'Abruzzo.  I have tried 2013 vintage last year, and must say that 2014 is as much good as previously!  Deep ruby red colour with purple reflex. Aromas of ripe black cherry fruits, prunes, blackberry, black currant with notes of vanilla, coffee, cinnamon, likorice and dark chocolate.  Smoky and woody nose shows also some spicy hints. Dense and rich wine."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Really great blend of 5 varieties from south Italy: negroamaro, primitivo, malvasia negra, sangiovese and Montepulciano d'Abruzzo.  I have tried 2013 vintage last year, and must say that 2014 is as much good as previously!  Deep ruby red colour with purple reflex. Aromas of ripe black cherry fruits, prunes, blackberry, black currant with notes of vanilla, coffee, cinnamon, likorice and dark chocolate.  Smoky and woody nose shows also some spicy hints. Dense and rich wine."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Tried with wine club
👁 deep purple
👃 very fresh sweet fruits both red and black- plum, mulberry, redcurrant, black currant. Chocolate, raisins 
👅 dry (nearly off dry but I think It’s just the ripe fruit, medium acid,high alcohol, med tannins, medium- finish. 
Too fruity and simple for me but there are plenty who will love it. 99 points from Luca Maroni but he gives everything 99!!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Hello fruitness my old friend. This wine has been personally balanced by Justitia. Delicate, ripe fruit; a perfect pair for food (not Malaysian to be clear). Always a joy"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Hello fruitness my old friend. This wine has been personally balanced by Justitia. Delicate, ripe fruit; a perfect pair for food (not Malaysian to be clear). Always a joy"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Hello fruitness my old friend. This wine has been personally balanced by Justitia. Delicate, ripe fruit; a perfect pair for food (not Malaysian to be clear). Always a joy"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,The assemblage of the different autochthonous grapes is amazing.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,The assemblage of the different autochthonous grapes is amazing.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,The assemblage of the different autochthonous grapes is amazing.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Taste is very good.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"An absolutely full bodied, cherry bomb blast in your mouth wine! Spectacular! 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"An absolutely full bodied, cherry bomb blast in your mouth wine! Spectacular! 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"An absolutely full bodied, cherry bomb blast in your mouth wine! Spectacular! 
"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Despite of his voice it disappointed me, wine does not have any-body, its perhaps perfect mix which was created 'to taste the all' but in the result ? I am afraid it makes it average, i pour out black tongue which caused me this wine back on it"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Good to the taste. Can still be cellared
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Good to the taste. Can still be cellared
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Good to the taste. Can still be cellared
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Smooth and tasty
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Smooth and tasty
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,We meet again 😁
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,We meet again 😁
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,We meet again 😁
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,We meet again 😁
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,We meet again 😁
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,It’s full body but very light finish. Really good one.  Best match with ramb! 
