wine_name,grape,region,country,year,price,rating,review
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Pomadão do cacete. Muita Fruta presente, corpo, prolongamento de boca. Um vinho inesperado mas fora de serie. Acompanhou deliciosamente um leitao"
Tinta Roriz fromDouro,Tinta Roriz, Douro,Portugal,2019,19.46,4.0,Fruity full bodied wine 13.5% with dark fruit flavours. Excellent with roasted meat.
Shiraz/Syrah fromBarossa Valley,Shiraz/Syrah, Barossa Valley,Australia,2019,27.86,4.0, blackberry plum oak pepper vanilla chocolate cherry blueberry smoke
Cabernet Franc fromStellenbosch,Cabernet Franc, Stellenbosch,South Africa,2018,28.28,4.3,"Well balanced blend, wow now but give it three more years👍👍"
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,"
Norm

"
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,Класс👍🏻
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,Good
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,"Delikatne, ale wyraziste w smaku"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"今の自分の気分・体調なのかな？
美味しい！飲みやすい。
引っかかりがない。
＋αお誕生日のプレゼントで頂いたので🙋‍♀️
"
Merlot fromSaint-Émilion Grand Cru,Merlot, Saint-Émilion Grand Cru,France,2016,26.8,4.1,Богатые ягоды 
Sangiovese fromChianti Classico,Sangiovese, Chianti Classico,Italy,2018,30.66,4.1,칠링이 좀 안되서 아쉬웠고 탄닌감이 지배적인 와인. 특별한 감흥이나 도드라지는 산미는 없음. 재구매 놉
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2022,8.26,4.1,Насыщенное но мягкое! Очень понравилось! Рекомендую
Touriga Nacional fromPenínsula de Setúbal,Touriga Nacional, Península de Setúbal,Portugal,2020,9.33,4.2,Smooth and full
